Month,Age,Storage_1,Storage_2,Storage_4,Storage_8,Storage_9,Storage_10,Storage_11,Storage_12,Storage_14,Storage_15,Storage_16,Storage_17,Storage_19,Storage_20,Storage_21,Storage_22,Storage_23,Storage_24,Storage_25,Storage_29,Storage_35,Storage_47,Storage_159,Storage_184,Storage_0,Storage_3,Storage_6,Storage_7,Storage_13,Storage_27,Storage_37,Storage_43,Storage_210,Storage_5,Storage_85,Storage_151,Storage_30,Storage_31,Storage_32,Storage_187,Storage_180,Storage_198,Storage_166,Storage_26,Storage_39,Storage_189,Storage_131,Storage_145,Storage_28,Storage_46,Storage_138,Storage_50,Storage_18,Storage_217
December 2022,12,0,0,,0.0,0.0,0.0,0,0,0,1.0,,0.0,0.0,0,0,0,0,0,0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
December 2022,13,0,0,,0.0,0.0,0.0,0,0,1,0.0,,0.0,0.0,0,0,0,0,0,0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
December 2022,14,0,0,,0.0,0.0,0.0,0,0,0,0.0,,0.0,1.0,0,0,0,0,0,0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
December 2022,15,0,0,,0.0,0.0,0.0,0,0,0,1.0,,0.0,0.0,0,0,0,0,0,0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
December 2022,16,0,0,,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0,0,0,0,0,1,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
December 2022,17,0,0,,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0,0,0,0,1,0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
December 2022,18,0,0,,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0,0,1,1,0,0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
December 2022,19,0,0,,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,1,1,0,0,0,0,,,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
December 2022,26,0,0,,0.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0,0,0,0,0,0,,,,,,,,0.0,0.0,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
February 2023,0,1,0,,0.0,0.0,1.0,1,0,0,0.0,1.0,1.0,1.0,1,1,1,1,1,1,,,,,,,1.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
