Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,341.0,17.0,24.0,13.0,395.0,October 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,3.0,4.0,2.0,75.0,October 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,October 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,125.0,6.0,12.0,6.0,149.0,October 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,October 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,133.0,6.0,7.0,4.0,150.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,173.0,12.0,14.0,7.0,206.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,2.0,2.0,1.0,20.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,60.0,4.0,6.0,4.0,74.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,7.0,7.0,4.0,122.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,87.0,5.0,4.0,3.0,99.0,November 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,November 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,November 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,November 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,148.0,8.0,10.0,8.0,174.0,November 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,341.0,17.0,24.0,13.0,395.0,November 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,3.0,4.0,2.0,75.0,November 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,November 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,125.0,6.0,12.0,6.0,149.0,November 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,November 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,133.0,6.0,7.0,4.0,150.0,November 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,174.0,12.0,14.0,7.0,207.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,2.0,2.0,1.0,20.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,62.0,4.0,6.0,4.0,76.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,7.0,7.0,4.0,122.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,89.0,4.0,,1.0,94.0,December 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,December 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,December 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,December 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,148.0,8.0,10.0,8.0,174.0,December 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,341.0,17.0,24.0,13.0,395.0,December 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,3.0,4.0,2.0,75.0,December 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,December 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,111.0,5.0,10.0,5.0,131.0,December 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,December 2022
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,133.0,6.0,7.0,4.0,150.0,December 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,174.0,12.0,14.0,7.0,207.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,,,1.0,16.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,63.0,4.0,6.0,4.0,77.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,7.0,7.0,4.0,122.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,89.0,4.0,,1.0,94.0,January 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,January 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,January 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,65.0,3.0,6.0,3.0,77.0,January 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,148.0,8.0,10.0,8.0,174.0,January 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,341.0,17.0,24.0,13.0,395.0,January 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,3.0,4.0,2.0,75.0,January 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,January 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,111.0,5.0,10.0,5.0,131.0,January 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,January 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,133.0,6.0,7.0,4.0,150.0,January 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,174.0,12.0,14.0,7.0,207.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,1.0,,1.0,17.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,4.0,4.0,2.0,46.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,63.0,4.0,6.0,4.0,77.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,7.0,7.0,4.0,122.0,February 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,89.0,4.0,,1.0,94.0,February 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,February 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,February 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,February 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,148.0,8.0,10.0,8.0,174.0,February 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,335.0,17.0,24.0,13.0,389.0,February 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,3.0,4.0,2.0,75.0,February 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,February 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,111.0,8.0,6.0,5.0,130.0,February 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,68.0,4.0,,,72.0,February 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,133.0,6.0,7.0,4.0,150.0,February 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,174.0,12.0,14.0,7.0,207.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,4,VICENZA,71.0,5.0,5.0,3.0,84.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,1.0,,1.0,17.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,4.0,4.0,2.0,46.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,43,ROTA,63.0,4.0,6.0,4.0,77.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,6.0,5.0,4.0,119.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,47,WIESBADEN,89.0,4.0,,1.0,94.0,March 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,March 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,March 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,19,SASEBO,70.0,3.0,6.0,3.0,82.0,March 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,22,ZAMA,148.0,8.0,10.0,8.0,174.0,March 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,26,OKINAWA,309.0,15.0,21.0,11.0,356.0,March 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,27,IWAKUNI,62.0,3.0,4.0,2.0,71.0,March 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,March 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,21,DAEGU,111.0,5.0,,5.0,121.0,March 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,March 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,133.0,6.0,7.0,4.0,150.0,March 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,174.0,12.0,14.0,7.0,207.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,1.0,,1.0,17.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,31,ANSBACH,2.0,2.0,,2.0,6.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,43,ROTA,63.0,4.0,6.0,4.0,77.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,10.0,4.0,4.0,122.0,April 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,47,WIESBADEN,91.0,4.0,,1.0,96.0,April 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,April 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,110.0,6.0,12.0,6.0,134.0,April 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,19,SASEBO,70.0,3.0,6.0,3.0,82.0,April 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,22,ZAMA,148.0,8.0,10.0,8.0,174.0,April 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,26,OKINAWA,308.0,15.0,21.0,11.0,355.0,April 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,27,IWAKUNI,62.0,3.0,4.0,2.0,71.0,April 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,April 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,21,DAEGU,111.0,5.0,,2.0,118.0,April 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,April 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,133.0,6.0,7.0,3.0,149.0,April 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,173.0,12.0,14.0,7.0,206.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,1.0,,1.0,17.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,,2.0,40.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,63.0,4.0,6.0,4.0,77.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,9.0,4.0,4.0,121.0,May 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,91.0,4.0,,1.0,96.0,May 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,May 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,110.0,6.0,12.0,6.0,134.0,May 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,69.0,3.0,6.0,3.0,81.0,May 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,146.0,8.0,10.0,8.0,172.0,May 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,308.0,15.0,21.0,11.0,355.0,May 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,62.0,3.0,4.0,2.0,71.0,May 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,May 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,108.0,5.0,,,113.0,May 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,May 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,132.0,6.0,7.0,3.0,148.0,May 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,173.0,12.0,14.0,7.0,206.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,1.0,,1.0,17.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,,2.0,40.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,43,ROTA,63.0,4.0,6.0,4.0,77.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,9.0,4.0,4.0,121.0,June 2023
Europe                                                                      Slots              ACM              ITC           FRS           Total,47,WIESBADEN,91.0,4.0,,1.0,96.0,June 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,June 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,110.0,6.0,12.0,6.0,134.0,June 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,19,SASEBO,69.0,3.0,6.0,3.0,81.0,June 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,22,ZAMA,146.0,8.0,10.0,8.0,172.0,June 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,26,OKINAWA,308.0,15.0,21.0,11.0,355.0,June 2023
Japan                                                                       Slots              ACM              ITC           FRS           Total,27,IWAKUNI,62.0,3.0,4.0,2.0,71.0,June 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,20,SEOUL,86.0,3.0,5.0,2.0,96.0,June 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,21,DAEGU,118.0,6.0,,,124.0,June 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,June 2023
Korea                                                                       Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,132.0,6.0,7.0,3.0,148.0,June 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,173.0,12.0,14.0,7.0,206.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,1.0,,,16.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,,1.0,39.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,32.0,2.0,2.0,2.0,38.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,63.0,4.0,6.0,4.0,77.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,9.0,4.0,4.0,121.0,July 2023
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,91.0,4.0,,1.0,96.0,July 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,July 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,110.0,6.0,12.0,6.0,134.0,July 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,69.0,3.0,6.0,3.0,81.0,July 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,149.0,8.0,10.0,8.0,175.0,July 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,26,OKINAWA,308.0,15.0,21.0,11.0,355.0,July 2023
Japan                                                                      Slots              ACM              ITC           FRS           Total,27,IWAKUNI,66.0,3.0,4.0,2.0,75.0,July 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,20,SEOUL,84.0,3.0,5.0,2.0,94.0,July 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,21,DAEGU,118.0,6.0,,,124.0,July 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,23,UIJEONGBU,73.0,4.0,,,77.0,July 2023
Korea                                                                      Slots              ACM              ITC           FRS           Total,24,PYONGTAEK,132.0,6.0,7.0,3.0,148.0,July 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,173.0,12.0,14.0,7.0,206.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,1.0,,,16.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,,1.0,39.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,40,SIGONELLA,32.0,2.0,2.0,2.0,38.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,43,ROTA,62.0,4.0,6.0,4.0,76.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,46,VILSECK,111.0,9.0,4.0,4.0,128.0,August 2023
Europe                                                                       Slots              ACM              ITC           FRS           Total,47,WIESBADEN,91.0,4.0,,1.0,96.0,August 2023
Japan                                                                        Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,August 2023
Japan                                                                        Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,110.0,6.0,12.0,6.0,134.0,August 2023
Japan                                                                        Slots              ACM              ITC           FRS           Total,19,SASEBO,72.0,3.0,6.0,3.0,84.0,August 2023
Japan                                                                        Slots              ACM              ITC           FRS           Total,22,ZAMA,138.0,7.0,9.0,7.0,161.0,August 2023
Japan                                                                        Slots              ACM              ITC           FRS           Total,26,OKINAWA,308.0,15.0,21.0,11.0,355.0,August 2023
Japan                                                                        Slots              ACM              ITC           FRS           Total,27,IWAKUNI,64.0,3.0,4.0,2.0,73.0,August 2023
Korea                                                                        Slots              ACM              ITC           FRS           Total,20,SEOUL,84.0,3.0,5.0,2.0,94.0,August 2023
Korea                                                                        Slots              ACM              ITC           FRS           Total,21,DAEGU,103.0,5.0,,,108.0,August 2023
