Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe                                                                     Slots              ACM              ITC           FRS           Total,2,KAISERSLAUTERN,173.0,12.0,14.0,7.0,206.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,4,VICENZA,73.0,5.0,5.0,3.0,86.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,10,GARMISCH,15.0,2.0,2.0,1.0,20.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,31,ANSBACH,36.0,2.0,4.0,2.0,44.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,39,SOUDA BAY,20.0,2.0,2.0,1.0,25.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,40,SIGONELLA,40.0,3.0,3.0,2.0,48.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,42,NAPLES,47.0,2.0,4.0,2.0,55.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,43,ROTA,60.0,4.0,6.0,4.0,74.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,45,STUTTGART,88.0,4.0,4.0,3.0,99.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,46,VILSECK,104.0,7.0,7.0,4.0,122.0,October 2022
Europe                                                                     Slots              ACM              ITC           FRS           Total,47,WIESBADEN,87.0,5.0,4.0,3.0,99.0,October 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,17,SINGAPORE,10.0,1.0,2.0,1.0,14.0,October 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,18,YOKOSUKA,114.0,6.0,12.0,6.0,138.0,October 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,19,SASEBO,71.0,3.0,6.0,3.0,83.0,October 2022
Japan                                                                      Slots              ACM              ITC           FRS           Total,22,ZAMA,148.0,8.0,10.0,8.0,174.0,October 2022
