Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Europe,4,VICENZA,333,VICENZA F. O.,333521,60,IGT iGAME CARNIVAL MYS 243 01,580,9/7/2004,10/2/2021,333521-1385098,18,October 2022,,,18
Europe,10,GARMISCH,614,GARMISCH F. O.,130617,740,IBM SUREPOS 4852,2038,10/15/2010,8/7/2012,130617-41C8871,12,October 2022,,,12
Korea,20,SEOUL,841,SEOUL FO,124647,740,IBM SUREPOS 4852,2038,9/28/2010,3/5/2020,124647-41D5498,1,October 2022,2,2,1
Korea,20,SEOUL,841,SEOUL FO,337490,60,IGT AXXIS 3D REEF OF RICHES,1911,7/19/2019,12/1/2021,337490-2145418,50,October 2022,8,8,50
Korea,23,UIJEONGBU,843,UIJONGBU FO,334788,70,DIEBOLD ACM,9001,3/7/2006,7/14/2022,334788-R106205-38690,16,October 2022,,,16
Korea,23,UIJEONGBU,843,UIJONGBU FO,333432,70,ITC Smart Card Dispenser,1018,12/9/2003,7/15/2022,333432-23745,18,October 2022,,,18
Korea,23,UIJEONGBU,843,UIJONGBU FO,336669,70,ITC Smart Card Dispenser,1018,4/3/2008,3/12/2014,336669-0801279,14,October 2022,,,14
Korea,23,UIJEONGBU,843,UIJONGBU FO,336647,70,COUNTR ACK,9007,5/25/2019,7/14/2022,336647-10-03-01279,3,October 2022,,,3
Korea,23,UIJEONGBU,843,UIJONGBU FO,335849,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/15/2008,9/30/2021,335849-346834,14,October 2022,,,14
Korea,23,UIJEONGBU,843,UIJONGBU FO,335841,60,NOV PREM V+ 5ST MULTI-DENOM,4010,8/15/2008,2/21/2020,335841-346822,14,October 2022,,,14
Korea,23,UIJEONGBU,843,UIJONGBU FO,334903,70,ITC Smart Card Dispenser,1018,3/7/2006,3/2/2020,334903-33669,16,October 2022,,,16
Korea,23,UIJEONGBU,843,UIJONGBU FO,334901,70,ITC Smart Card Dispenser,1018,3/7/2006,7/14/2022,334901-33660,16,October 2022,,,16
Korea,23,UIJEONGBU,843,UIJONGBU FO,334787,70,DIEBOLD ACM,9001,3/7/2006,3/2/2020,334787-R106205-38874,16,October 2022,,,16
Korea,23,UIJEONGBU,843,UIJONGBU FO,333434,70,ITC Smart Card Dispenser,1018,12/9/2003,10/18/2018,333434-23747,18,October 2022,,,18
Korea,23,UIJEONGBU,843,UIJONGBU FO,333320,70,DIEBOLD ACM,9001,8/26/2004,7/14/2022,333320-R10620538845,18,October 2022,,,18
Korea,23,UIJEONGBU,843,UIJONGBU FO,333319,70,DIEBOLD ACM,9001,8/26/2004,3/2/2020,333319-R10620538318,18,October 2022,,,18
Korea,23,UIJEONGBU,843,UIJONGBU FO,333316,70,ITC Smart Card Dispenser,1018,8/26/2004,3/2/2020,333316-26976,18,October 2022,,,18
Korea,23,UIJEONGBU,843,UIJONGBU FO,333310,70,DIEBOLD ACM,9001,8/19/2004,10/18/2018,333310-R10620538876,18,October 2022,,,18
Korea,23,UIJEONGBU,843,UIJONGBU FO,333020,70,DIEBOLD ACM,9001,3/12/2003,7/15/2022,333020-R10620538258,19,October 2022,,,19
Korea,23,UIJEONGBU,843,UIJONGBU FO,333437,70,ITC Smart Card Dispenser,1018,10/16/2003,7/14/2022,333437-23750,19,October 2022,,,19
Korea,21,DAEGU,875,DAEGU F.O.,333474,60,IGT CLEOPATRA II 20L 10C .01,1280,8/12/2004,3/5/2022,333474-1349260,18,October 2022,,,18
