Region,FO#,FOSHORT,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe,,%,39%,45%,40%,42%,39%,Aug-22
Japan,18,YOKOSUKA,114,6,12,6,138,Aug-22
Japan,19,SASEBO,71,3,6,3,83,Aug-22
Japan,22,ZAMA,148,8,10,8,174,Aug-22
Japan,26,OKINAWA,341,18,24,13,396,Aug-22
Japan,27,IWAKUNI,54,3,4,2,63,Aug-22
Japan,,Japan Total,738,39,58,32,867,Aug-22
Japan,,%,39%,37%,43%,42%,39%,Aug-22
Korea,20,SEOUL,86,3,5,2,96,Aug-22
Korea,21,DAEGU,125,6,12,6,149,Aug-22
Korea,24,PYONGTAEK,133,6,7,4,150,Aug-22
Korea,,Korea Total,417,19,24,12,472,Aug-22
Korea,,%,22%,18%,18%,16%,21%,Aug-22
ARMP,,ARMP Total,1895,106,136,76,2213,Aug-22
Europe,2,KAISERSLAUTERN,173,12,14,7,206,Sep-22
Europe,4,VICENZA,73,5,5,3,86,Sep-22
Europe,10,GARMISCH,15,2,2,1,20,Sep-22
Europe,31,ANSBACH,36,2,4,2,44,Sep-22
Europe,39,SOUDA BAY,20,2,2,1,25,Sep-22
Europe,40,SIGONELLA,40,3,3,2,48,Sep-22
Europe,42,NAPLES,47,2,4,2,55,Sep-22
Europe,43,ROTA,57,4,5,4,70,Sep-22
Europe,45,STUTTGART,88,4,4,3,99,Sep-22
Europe,46,VILSECK,104,7,7,4,122,Sep-22
Europe,47,WIESBADEN,87,5,4,3,99,Sep-22
Europe,,Europe Total,740,48,54,32,874,Sep-22
Europe,,%,39%,45%,40%,42%,39%,Sep-22
Japan,18,YOKOSUKA,114,6,12,6,138,Sep-22
Japan,19,SASEBO,71,3,6,3,83,Sep-22
Japan,22,ZAMA,148,8,10,8,174,Sep-22
Japan,26,OKINAWA,341,18,24,13,396,Sep-22
Japan,27,IWAKUNI,54,3,4,2,63,Sep-22
Japan,,Japan Total,738,39,58,32,867,Sep-22
Japan,,%,39%,37%,43%,42%,39%,Sep-22
Korea,20,SEOUL,86,3,5,2,96,Sep-22
Korea,21,DAEGU,125,6,12,6,149,Sep-22
Korea,24,PYONGTAEK,133,6,7,4,150,Sep-22
Korea,,Korea Total,417,19,24,12,472,Sep-22
Korea,,%,22%,18%,18%,16%,21%,Sep-22
ARMP,,ARMP Total,1895,106,136,76,2213,Sep-22
