REGION,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Aquire,Effective,SerialNum,PLACE,Age,Years in Storage,Months,Month
Europe,4,VICENZA,333,VICENZA F. O.,333521,60,IGT iGAME CARNIVAL MYS 243 01,580,9/7/2004,10/2/2021,333521-1385098,Store,17,,2.0,Nov-21
Europe,10,GARMISCH,614,GARMISCH F. O.,130617,740,IBM SUREPOS 4852,2038,10/15/2010,8/7/2012,130617-41C8871,Store,11,9.0,101,Nov-21
Europe,10,GARMISCH,614,GARMISCH F. O.,333165,70,DIEBOLD ACM,9001,9/4/2004,8/7/2012,333165-38850,Store,17,9.0,,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336078,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,12/1/2021,336078-642959,Store,7,,,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336086,60,NOV PREM V+ 6ST MULTI-DENOM,4011,9/18/2014,12/1/2021,336086-642967,Store,7,,12,Nov-21
Korea,20,SEOUL,841,SEOUL FO,337490,60,IGT AXXIS 3D REEF OF RICHES,1911,7/19/2019,12/1/2021,337490-2145418,Store,2,,5,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336894,60,WMS BLADE MULTI CHEST 2,1856,8/26/2015,11/18/2021,336894-5088529,Store,6,,1.0,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336893,60,WMS BLADE MULTI CHEST 1,1855,8/26/2015,11/18/2021,336893-5088528,Store,6,,1.0,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336324,60,WMS BLADE MULTI CHEST 2,1856,3/6/2015,11/18/2021,336324-5077255,Store,6,,1.0,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336087,60,NOV PREM V+ 5ST MULTI-DENOM,4010,9/18/2014,12/1/2021,336087-642968,Store,7,,,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336080,60,NOV PREM V+ 5ST MULTI-DENOM,4010,9/18/2014,12/1/2021,336080-642961,Store,7,,,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336076,60,NOV PREM V+ 4ST MULTI-DENOM,4009,9/18/2014,12/1/2021,336076-642957,Store,7,,,Nov-21
Korea,20,SEOUL,841,SEOUL FO,332947,70,DIEBOLD ACM,9001,2/22/2003,12/1/2021,332947-010620543427,Store,18,,,Nov-21
Korea,20,SEOUL,841,SEOUL FO,124647,740,IBM SUREPOS 4852,2038,9/28/2010,3/5/2020,124647-41D5498,Store,11,1.0,,Nov-21
Korea,20,SEOUL,841,SEOUL FO,116222,740,IBM SUREPOS 4852,2038,9/25/2010,1/25/2019,116222-41D3345,Store,11,2.0,,Nov-21
Korea,20,SEOUL,841,SEOUL FO,336085,60,NOV PREM V+ 4ST MULTI-DENOM,4009,9/18/2014,12/1/2021,336085-642966,Store,7,,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,334787,70,DIEBOLD ACM,9001,3/7/2006,3/2/2020,334787-R106205-38874,Store,15,1.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,117481,740,IBM SUREPOS 4852,2038,9/29/2010,11/27/2010,117481-41D2775,Store,11,11.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,336669,70,ITC Smart Card Dispenser,1018,4/3/2008,3/12/2014,336669-0801279,Store,13,7.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,335849,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/15/2008,9/30/2021,335849-346834,Store,13,,3.0,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,335841,60,NOV PREM V+ 5ST MULTI-DENOM,4010,8/15/2008,2/21/2020,335841-346822,Store,13,1.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,334903,70,ITC Smart Card Dispenser,1018,3/7/2006,3/2/2020,334903-33669,Store,15,1.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,333319,70,DIEBOLD ACM,9001,8/26/2004,3/2/2020,333319-R10620538318,Store,17,1.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,333316,70,ITC Smart Card Dispenser,1018,8/26/2004,3/2/2020,333316-26976,Store,17,1.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,126856,740,IBM SUREPOS 4852,2038,9/30/2010,3/13/2020,126856-41D1751,Store,11,1.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,333434,70,ITC Smart Card Dispenser,1018,12/9/2003,10/18/2018,333434-23747,Store,17,3.0,,Nov-21
Korea,23,UIJEONGBU,843,UIJONGBU FO,333310,70,DIEBOLD ACM,9001,8/19/2004,10/18/2018,333310-R10620538876,Store,17,3.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,335523,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/19/2008,3/19/2021,335523-346829,Store,13,,9.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,336502,60,WMS BLADE MULTI CHEST 2,1856,10/24/2015,10/24/2015,336502-5091334,Store,6,6.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,335832,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/15/2008,7/2/2020,335832-346842,Store,13,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,336099,60,NOV PREM V+ 1ST MULTI-DENOM,4007,9/18/2014,6/25/2021,336099-642955,Store,7,,6.0,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,336317,60,AIN A560 MULTI WIN15 (SAP-MJP),1381,12/14/2011,6/6/2020,336317-XAR647240,Store,9,1.0,,Nov-21
Korea,21,DAEGU,875,DAEGU F.O.,336318,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/14/2011,6/27/2018,336318-XAR647231,Store,9,3.0,,Nov-21
