Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Years_in_Storage,Month,Age,Age_int,Years_in_Storage_int
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,339595,60,IGT PK49 - PROSP LINK - WSRY,1993,3/3/2023,3/3/2023,339595-EU0005397,209,October 2023,25,25,209
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,338989,60,AIN A600 MEGA CHOICE T(SAP-MJ),3361,9/7/2017,9/2/2023,338989-XAR680321,6,October 2023,,,6
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,339930,70,M3T ACK,9008,2/2/2023,2/2/2023,339930-222091526,0,October 2023,,,0
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335945,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,9/14/2016,8/2/2023,335945-138173,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336336,60,BAL PRO CURVE QHBG (MLP),3216,3/6/2015,5/2/2023,336336-B141219198,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336335,60,BAL PRO CURVE QHBG (MLP),3216,3/6/2015,5/2/2023,336335-B141219197,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335980,60,NOV DOM PREMIUM ED 3,3084,10/30/2014,8/4/2023,335980-647801,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335979,60,NOV DOMINATOR IMPERA HD5/$4.00,3083,10/30/2014,8/4/2023,335979-647800,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335973,60,WMS BLADE MULTI CHEST 6,1869,10/8/2014,8/2/2023,335973-5070463,9,October 2023,,,9
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335970,60,WMS BLADE MULTI CHEST 6,1869,10/8/2014,8/2/2023,335970-5070460,9,October 2023,,,9
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,336337,60,BAL PRO CURVE QHBG (MLP),3216,3/6/2015,8/2/2023,336337-B141219199,8,October 2023,,,8
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335946,60,NOV NOVOSTAR 4ST MULTI-DENOM,4016,9/14/2016,8/9/2023,335946-138184,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335938,60,NOV NOVOSTAR 4ST MULTI-DENOM,4016,9/14/2016,8/2/2023,335938-128854,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335939,60,NOV NOVOSTAR 6ST MULTI-DENOM,4018,9/14/2016,8/9/2023,335939-128931,7,October 2023,,,7
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335470,70,DIEBOLD ACM,9001,8/24/2006,3/13/2007,335470-R106205-38698,17,October 2023,,,17
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130620,740,IBM SUREPOS 4852,2038,10/15/2010,5/5/2021,130620-41D3295,13,October 2023,,,13
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130615,740,IBM SUREPOS 4852,2038,10/15/2010,11/5/2022,130615-41C8496,13,October 2023,,,13
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,130612,740,IBM SUREPOS 4852,2038,10/15/2010,11/5/2022,130612-41C8027,13,October 2023,,,13
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337171,60,WMS BLADE MULTI CHEST 4,1867,11/18/2016,9/9/2023,337171-5102878,6,October 2023,,,6
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,337253,60,IGT CRYSTAL/DUAL MULTI 701,1950,2/16/2018,9/2/2023,337253-2384717,5,October 2023,,,5
Europe,2,KAISERSLAUTERN,232,KAISERSLAUTERN F. O.,335960,60,BAL PRO CURVE QHBG 600MAX MLP,3216,9/6/2014,9/9/2023,335960-B140505731,9,October 2023,,,9
