Loc,Place,Region,Service,Asset,SerialNum,Type,Desc,Acquire,Effective,Disposed,Class,MFG,LNAME,FONUM,FOSHORT,Cat,Year,Age,ReportDate,Month
194,Floor,Europe,Army,339911,339911-EU0002122,1990,IGT COBALT 27 - MULTI DSU086,1/2/2023,2/3/2023,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339564,339564-MRXU028056,6010,ARI MARSX U BUFFALO GOLD REV.,6/30/2023,8/2/2023,9/9/9999,60,ARI,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339566,339566-5253547,3925,LNW KAS K43 JJBX GRAND TIGER,8/2/2023,8/4/2023,9/9/9999,60,LNW,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339567,339567-5253551,3924,LNW KAS K43 JJBX GRAND PHOENIX,8/2/2023,8/4/2023,9/9/9999,60,LNW,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339594,339594-EU0005377,1992,IGT PK49 - PROSP LINK - CYHT,3/3/2023,5/2/2023,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339596,339596-EU0005398,1993,IGT PK49 - PROSP LINK - WSRY,3/3/2023,5/2/2023,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339901,339901-MRXU022415,6010,ARI MARSX BUFFALO GOLD REVOL,10/5/2022,12/1/2022,9/9/9999,60,ARI,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2022,1,,October 2023
194,Floor,Europe,Army,339904,339904-MRXU022409,6020,ARI MARSX PHOENIX EDITION,10/5/2022,12/1/2022,9/9/9999,60,ARI,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2022,1,,October 2023
194,Floor,Europe,Army,339905,339905-EU0002101,1991,IGT COBALT 27 - MULTI DSU087,1/2/2023,2/3/2023,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339906,339906-EU0002102,1991,IGT COBALT 27 - MULTI DSU087,1/2/2023,2/3/2023,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339907,339908-EU0002103,1991,IGT COBALT 27 - MULTI DSU087,1/2/2023,2/3/2023,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339561,339561-DX149438V,6010,ARI MARSX U BUFFALO GOLD REV.,6/30/2023,8/2/2023,9/9/9999,60,ARI,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339910,339910-EU0002121,1990,IGT COBALT 27 - MULTI DSU086,1/2/2023,2/3/2023,9/9/9999,60,IGT,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
194,Floor,Europe,Army,339919,339919-5236880,3905,LNW KAS DANCING DRUMS PROSPERI,1/2/2023,2/3/2023,9/9/9999,60,LNW,ARMSTRONG'S,2,KAISERSLAUTERN,SLOT,2023,0,,October 2023
