Region,LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
,ROAD HOUSE,22,1127,Marine Corps,7.0,,,,,,,7.0,1.0,1.0,1.0,10.0,10.0,
,SANNO HOTEL,22,2664,Navy,12.0,6.0,4.0,2.0,8.0,,,32.0,1.0,1.0,2.0,36.0,36.0,
,CORNER POCKET,22,3078,Navy,10.0,,2.0,2.0,3.0,,,17.0,1.0,1.0,1.0,20.0,20.0,
,CLUB TRILOGY,22,3079,Navy,10.0,6.0,2.0,4.0,6.0,,,28.0,1.0,1.0,2.0,32.0,32.0,
,HAVANA'S,26,967,Army,1.0,,1.0,2.0,1.0,1.0,,6.0,1.0,1.0,1.0,9.0,9.0,
,HASHMARKS,26,1105,Marine Corps,6.0,,6.0,4.0,4.0,,,20.0,1.0,1.0,2.0,24.0,24.0,
,COURTNEY B/C,26,1107,Marine Corps,3.0,,6.0,2.0,2.0,2.0,,15.0,1.0,1.0,2.0,19.0,19.0,
,TAIYO G/C,26,1109,Marine Corps,21.0,6.0,10.0,,12.0,4.0,,53.0,1.0,2.0,2.0,58.0,58.0,
,BUTLER B/C,26,1111,Marine Corps,4.0,4.0,9.0,1.0,4.0,2.0,3.0,27.0,1.0,1.0,2.0,31.0,31.0,
,OCEAN BREEZE,26,1114,Marine Corps,29.0,24.0,18.0,6.0,15.0,3.0,,95.0,1.0,3.0,2.0,101.0,101.0,
,SURFSIDE,26,1122,Marine Corps,6.0,,4.0,2.0,6.0,,,18.0,1.0,1.0,2.0,22.0,22.0,
,PALMS,26,2238,Marine Corps,16.0,8.0,7.0,4.0,9.0,2.0,,46.0,1.0,2.0,2.0,51.0,51.0,
,WEST PAC LODGE,26,2317,Marine Corps,8.0,,4.0,2.0,2.0,,,16.0,1.0,1.0,1.0,19.0,19.0,
,BEACH HEAD,26,2394,Marine Corps,3.0,,5.0,3.0,,,,11.0,1.0,1.0,2.0,15.0,15.0,
