Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Month,Years_in_Storage,Age_int,Years_in_Storage_int
Europe,4,VICENZA,333,VICENZA F. O.,333523,60,IGT HOUSE OF THE DEAD 25L 10C,794,9/7/2004,12/8/2017,333523-1385100,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333524,60,IGT DAVINCI DMNDS 20L 10C .01,1293,9/7/2004,12/8/2017,333524-1385101,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333526,60,IGT GAME KING CL IFACE 200,295,9/7/2004,9/5/2019,333526-1385103,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333530,60,IGT FENG SHUI 10C 25L .01,1283,9/7/2004,3/14/2018,333530-1385107,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333533,60,IGT iGAME CARNIVAL MYS 243 01,580,9/7/2004,6/13/2018,333533-1385110,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333831,60,NOV CF1+ ULT 10D,3100,7/14/2005,7/13/2017,333831-175980,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,333944,60,IGT DAVINCI DMNDS 20L 10C .01,1293,8/31/2004,9/5/2019,333944-1384431,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,334361,60,WMS BB CRYSTAL FOREST,1451,3/19/2008,2/15/2018,334361-W2183058,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335388,70,DIEBOLD ACM,9001,2/18/2006,10/20/2009,333588-R106205-38154,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335561,60,WMS Game of Dragons 25L 10C,831,4/20/2006,2/15/2018,335561-W2125220,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335562,60,NOV CF1+ ULT 10XA,3112,6/7/2006,12/8/2017,335562-221255,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335563,60,NOV CF1+ ULT 10D,3100,6/7/2006,12/8/2017,335563-221256,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335567,60,WMS TREASURER DIVER 25L 10C,834,2/21/2008,2/15/2018,335567-W2183052,,0,,0
Europe,4,VICENZA,333,VICENZA F. O.,335569,60,NOV PREM V+ 1sT,3152,6/12/2008,6/13/2018,335569-358340,,0,,0
