Service,Category,Region,Base,Location,Month,Year,Amount,Base_lat,Base_lon
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,September,2020,34024,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,October,2019,10416,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,November,2019,11188,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,December,2019,9258,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,January,2020,19369,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,February,2020,10612,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,March,2020,9380,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,April,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,May,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,June,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,July,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,August,2020,-2050,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,September,2020,8250,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,October,2019,111185,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,November,2019,105485,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,December,2019,86789,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,January,2020,89181,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,February,2020,99798,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,March,2020,59248,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,April,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,May,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,June,2020,-5719,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,July,2020,69068,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,August,2020,37365,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,September,2020,15871,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,October,2019,20704,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,November,2019,8716,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,December,2019,3657,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,January,2020,8791,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,February,2020,12285,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,March,2020,14806,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,April,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,May,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,June,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,July,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,August,2020,0,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,September,2020,0,49.714147,11.905874
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,October,2019,47640,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,November,2019,51729,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,December,2019,57316,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,January,2020,32976,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,February,2020,37771,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,March,2020,51962,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,April,2020,0,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,May,2020,0,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,June,2020,0,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,July,2020,-6960,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,August,2020,34524,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,September,2020,63225,49.203278,11.849022
Army,Revenue,Europe,Kaiserslautern,Irish Pub,October,2019,180569,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,November,2019,104081,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,December,2019,87300,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,January,2020,109689,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,February,2020,125542,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,March,2020,91038,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,April,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,May,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,June,2020,105363,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,July,2020,110485,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,August,2020,138702,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,September,2020,166407,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,October,2019,31643,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,November,2019,18899,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,December,2019,16411,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,January,2020,8438,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,February,2020,19845,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,March,2020,13362,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,April,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,May,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,June,2020,0,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,July,2020,5774,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,August,2020,21237,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,September,2020,12241,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,October,2019,60405,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,November,2019,70060,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,December,2019,40875,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,January,2020,81266,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,February,2020,49693,49.440066,7.749126
