Date,AssetType,Balance,Category
2020-02-29,Accrued Salaries,371144.44,LIABILITIES
2020-02-29,Accrued Leave Payable,503212.35,LIABILITIES
2020-02-29,Total Liabilities,4062260.55,LIABILITIES
2020-02-29,EQUITY,40268349.21,EQUITY
2020-02-29,TOTAL LIABILITIES & EQUITY,44330609.76,EQUITY
2021-02-28,Cash,32128305.70,ASSETS
2021-02-28,Accounts Receivable,151942.37,ASSETS
2021-02-28,Prepaid Expenses,438296.59,ASSETS
2021-02-28,Fixed Assets,44710134.56,ASSETS
2021-02-28,Less Accum Depreciation,-31911242.96,ASSETS
2021-02-28,TOTAL ASSETS,45517436.26,ASSETS
2021-02-28,Accounts Payable,423974.89,LIABILITIES
2021-02-28,Distributions Payable,314805.03,LIABILITIES
2021-02-28,Accrued Liabilities,1417426.72,LIABILITIES
2021-02-28,Accrued Salaries,376670.26,LIABILITIES
2021-02-28,Accrued Leave Payable,543307.94,LIABILITIES
2021-02-28,Total Liabilities,3076184.84,LIABILITIES
2021-02-28,EQUITY,42441251.42,EQUITY
2021-02-28,TOTAL LIABILITIES & EQUITY,45517436.26,EQUITY
2022-02-28,Cash,40543679.19,ASSETS
2022-02-28,Accounts Receivable,223165.07,ASSETS
2022-02-28,Prepaid Expenses,385184.63,ASSETS
2022-02-28,Fixed Assets,42560675.20,ASSETS
2022-02-28,Less Accum Depreciation,-33799424.29,ASSETS
2022-02-28,TOTAL ASSETS,49913279.80,ASSETS
2022-02-28,Accounts Payable,404983.90,LIABILITIES
2022-02-28,Distributions Payable,1375062.74,LIABILITIES
2022-02-28,Accrued Liabilities,1962390.27,LIABILITIES
2022-02-28,Accrued Salaries,404267.43,LIABILITIES
2022-02-28,Accrued Leave Payable,533602.42,LIABILITIES
2022-02-28,Total Liabilities,4680306.76,LIABILITIES
2022-02-28,EQUITY,45232973.04,EQUITY
2022-02-28,TOTAL LIABILITIES & EQUITY,49913279.80,EQUITY
2023-02-28,Cash--Operating,23088202.58,ASSETS
2023-02-28,Cash--Restricted,15823254.88,ASSETS
2023-02-28,Accounts Receivable,231825.35,ASSETS
2023-02-28,Prepaid Expenses,392986.42,ASSETS
2023-02-28,Fixed Assets,44574249.47,ASSETS
2023-02-28,Less Accum Depreciation,-34071710.50,ASSETS
2023-02-28,TOTAL ASSETS,50038808.20,ASSETS
2023-02-28,Accounts Payable,1278590.28,LIABILITIES
2023-02-28,Distributions Payable,1372126.45,LIABILITIES
2023-02-28,Accrued Liabilities,1169862.27,LIABILITIES
2023-02-28,Accrued Salaries,450494.57,LIABILITIES
2023-02-28,Accrued Leave Payable,534761.59,LIABILITIES
2023-02-28,Total Liabilities,4805835.16,LIABILITIES
2023-02-28,EQUITY,45232973.04,EQUITY
2023-02-28,TOTAL LIABILITIES & EQUITY,50038808.20,EQUITY
2024-02-29,Cash--Operating,29407494.07,ASSETS
2024-02-29,Cash--Restricted,206483.11,ASSETS
2024-02-29,Accounts Receivable,431585.80,ASSETS
2024-02-29,Prepaid Expenses,685212.22,ASSETS
2024-02-29,Fixed Assets,48970804.58,ASSETS
2024-02-29,Less Accum Depreciation,-29040177.78,ASSETS
2024-02-29,TOTAL ASSETS,50661402.00,ASSETS
2024-02-29,Accounts Payable,921862.63,LIABILITIES
2024-02-29,Distributions Payable,1845396.66,LIABILITIES
2024-02-29,Accrued Liabilities,1559487.16,LIABILITIES
2024-02-29,Accrued Salaries,534336.80,LIABILITIES
2024-02-29,Accrued Leave Payable,567345.71,LIABILITIES
2024-02-29,Total Liabilities,5428428.96,LIABILITIES
2024-02-29,EQUITY,45232973.04,EQUITY
2024-02-29,TOTAL LIABILITIES & EQUITY,50661402.00,EQUITY
2020-03-31,Cash,29117242.47,ASSETS
2020-03-31,Accounts Receivable,87598.94,ASSETS
2020-03-31,Prepaid Expenses,297205.18,ASSETS
2020-03-31,Fixed Assets,44669027.87,ASSETS
2020-03-31,Less Accum Depreciation,-29721453.73,ASSETS
2020-03-31,TOTAL ASSETS,44449620.73,ASSETS
2020-03-31,Accounts Payable,560634.16,LIABILITIES
2020-03-31,Distributions Payable,1106671.73,LIABILITIES
2020-03-31,Accrued Liabilities,1224818.19,LIABILITIES
2020-03-31,Accrued Salaries,418210.67,LIABILITIES
2020-03-31,Accrued Leave Payable,517545.77,LIABILITIES
2020-03-31,Total Liabilities,3827880.52,LIABILITIES
2020-03-31,EQUITY,40621740.21,EQUITY
2020-03-31,TOTAL LIABILITIES & EQUITY,44449620.73,EQUITY
2021-03-31,Cash,34107125.67,ASSETS
2021-03-31,Accounts Receivable,147254.53,ASSETS
2021-03-31,Prepaid Expenses,379269.43,ASSETS
2021-03-31,Fixed Assets,44558381.76,ASSETS
2021-03-31,Less Accum Depreciation,-32118569.17,ASSETS
2021-03-31,TOTAL ASSETS,47073462.22,ASSETS
2021-03-31,Accounts Payable,409855.39,LIABILITIES
2021-03-31,Distributions Payable,1585670.68,LIABILITIES
2021-03-31,Accrued Liabilities,1252052.94,LIABILITIES
2021-03-31,Accrued Salaries,462451.60,LIABILITIES
2021-03-31,Accrued Leave Payable,560578.13,LIABILITIES
2021-03-31,Total Liabilities,4270608.74,LIABILITIES
2021-03-31,EQUITY,42802853.48,EQUITY
2021-03-31,TOTAL LIABILITIES & EQUITY,47073462.22,EQUITY
2022-03-31,Cash--Operating,18881300.05,ASSETS
2022-03-31,Cash--Restricted,22720803.91,ASSETS
2022-03-31,Accounts Receivable,212833.20,ASSETS
2022-03-31,Prepaid Expenses,348446.11,ASSETS
2022-03-31,Fixed Assets,42503497.02,ASSETS
2022-03-31,Less Accum Depreciation,-34034112.49,ASSETS
2022-03-31,TOTAL ASSETS,50632767.80,ASSETS
2022-03-31,Accounts Payable,416112.48,LIABILITIES
2022-03-31,Distributions Payable,2647952.75,LIABILITIES
2022-03-31,Accrued Liabilities,1317039.17,LIABILITIES
2022-03-31,Accrued Salaries,488759.00,LIABILITIES
2022-03-31,Accrued Leave Payable,529931.36,LIABILITIES
2022-03-31,Total Liabilities,5399794.76,LIABILITIES
2022-03-31,EQUITY,45232973.04,EQUITY
2022-03-31,TOTAL LIABILITIES & EQUITY,50632767.80,EQUITY
2024-03-31,Cash--Operating,30354883.02,ASSETS
2024-03-31,Accounts Receivable,199639.00,ASSETS
2024-03-31,Prepaid Expenses,573451.88,ASSETS
2024-03-31,Fixed Assets,49732957.86,ASSETS
2024-03-31,Less Accum Depreciation,-29341086.33,ASSETS
2024-03-31,TOTAL ASSETS,51519845.43,ASSETS
2024-03-31,Accounts Payable,1216471.78,LIABILITIES
2024-03-31,Distributions Payable,1720399.93,LIABILITIES
2024-03-31,Accrued Liabilities,1861303.32,LIABILITIES
2024-03-31,Accrued Salaries,897480.82,LIABILITIES
2024-03-31,Accrued Leave Payable,591216.54,LIABILITIES
2024-03-31,Total Liabilities,6286872.39,LIABILITIES
2024-03-31,EQUITY,45232973.04,EQUITY
2024-03-31,TOTAL LIABILITIES & EQUITY,51519845.43,EQUITY
2020-04-30,Cash,27784081.33,ASSETS
2020-04-30,Accounts Receivable,301599.33,ASSETS
2020-04-30,Prepaid Expenses,248477.27,ASSETS
2020-04-30,Fixed Assets,44273420.39,ASSETS
2020-04-30,Less Accum Depreciation,-29683473.43,ASSETS
2020-04-30,TOTAL ASSETS,42924104.89,ASSETS
2020-04-30,Accounts Payable,418595.11,LIABILITIES
2020-04-30,Accrued Liabilities,1167850.66,LIABILITIES
2020-04-30,Accrued Salaries,477336.62,LIABILITIES
2020-04-30,Accrued Leave Payable,525357.03,LIABILITIES
2020-04-30,Total Liabilities,2589139.42,LIABILITIES
2020-04-30,EQUITY,40334965.47,EQUITY
2020-04-30,TOTAL LIABILITIES & EQUITY,42924104.89,EQUITY
2021-04-30,Cash,34734116.97,ASSETS
2021-04-30,Accounts Receivable,98328.63,ASSETS
2021-04-30,Prepaid Expenses,319835.09,ASSETS
2021-04-30,Fixed Assets,44522978.37,ASSETS
2021-04-30,Less Accum Depreciation,-32440470.39,ASSETS
2021-04-30,TOTAL ASSETS,47234788.67,ASSETS
2021-04-30,Accounts Payable,339406.73,LIABILITIES
2021-04-30,Distributions Payable,1363866.16,LIABILITIES
2021-04-30,Accrued Liabilities,1274096.95,LIABILITIES
2021-04-30,Accrued Salaries,521175.42,LIABILITIES
2021-04-30,Accrued Leave Payable,576762.29,LIABILITIES
2021-04-30,Total Liabilities,4075307.55,LIABILITIES
2021-04-30,EQUITY,43159481.12,EQUITY
2021-04-30,TOTAL LIABILITIES & EQUITY,47234788.67,EQUITY
2022-04-30,Cash--Operating,18413504.87,ASSETS
2022-04-30,Cash--Restricted,22283679.91,ASSETS
2022-04-30,Accounts Receivable,249829.45,ASSETS
2022-04-30,Prepaid Expenses,325426.54,ASSETS
2022-04-30,Fixed Assets,42503497.02,ASSETS
2022-04-30,Less Accum Depreciation,-34314305.06,ASSETS
2022-04-30,TOTAL ASSETS,49461632.73,ASSETS
2022-04-30,Accounts Payable,460623.09,LIABILITIES
2022-04-30,Distributions Payable,1044851.55,LIABILITIES
2022-04-30,Accrued Liabilities,1643452.96,LIABILITIES
2022-04-30,Accrued Salaries,522496.25,LIABILITIES
2022-04-30,Accrued Leave Payable,557235.84,LIABILITIES
2022-04-30,Total Liabilities,4228659.69,LIABILITIES
2022-04-30,EQUITY,45232973.04,EQUITY
2022-04-30,TOTAL LIABILITIES & EQUITY,49461632.73,EQUITY
2023-04-30,Cash--Operating,24153170.95,ASSETS
2023-04-30,Cash--Restricted,14197860.74,ASSETS
2023-04-30,Accounts Receivable,250237.23,ASSETS
2023-04-30,Prepaid Expenses,301268.67,ASSETS
2023-04-30,Fixed Assets,43921327.52,ASSETS
2023-04-30,Less Accum Depreciation,-32768346.21,ASSETS
2023-04-30,TOTAL ASSETS,50055518.90,ASSETS
2023-04-30,Accounts Payable,567201.85,LIABILITIES
