Region,FONUM,FOSHORT,Loc,LNAME,Asset,Class,Desc,Type,Acquire,Effective,SerialNum,Age,Years_in_Storage,Month,Age_int,Years_in_Storage_float,Years_in_Storage_int,BaseName_match,match_score,match_country,Latitude,Longitude
Korea,21,DAEGU,875,DAEGU F.O.,335522,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/19/2008,7/2/2020,335522-346816,12,0.0,October 2020,12,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,335525,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/19/2008,10/2/2020,335525-346828,12,0.0,October 2020,12,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,335526,60,NOV PREM V+ 4ST MULTI-DENOM,4009,8/19/2008,10/2/2020,335526-346818,12,0.0,October 2020,12,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,335832,60,NOV PREM V+ 6ST MULTI-DENOM,4011,8/15/2008,7/2/2020,335832-346842,12,0.0,October 2020,12,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,336317,60,AIN A560 MULTI WIN15 (SAP-MJP),1381,12/14/2011,6/6/2020,336317-XAR647240,8,0.0,October 2020,8,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,336319,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/14/2011,6/6/2020,336319-XAR647232,8,0.0,October 2020,8,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,336648,60,NOVOSTAR ONE&ONLY,3175,10/7/2016,10/17/2020,336648-126995,4,0.0,October 2020,4,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,336698,60,AIN/A560 MULTI WIN13 (SAP-MJP),1377,12/10/2011,6/11/2020,336698-XAR647241,8,0.0,October 2020,8,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,337065,60,NOVOSTAR 6sT,3185,10/7/2016,10/17/2020,337065-166886,4,0.0,October 2020,4,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,337652,60,NOVOSTAR 4sT,3181,11/23/2016,10/17/2020,337652-143848,3,0.0,October 2020,3,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,337665,60,NOVOSTAR 6sT,3185,11/23/2016,6/4/2020,337665-208642,3,0.0,October 2020,3,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,337669,60,NOVOSTAR 6sT,3185,11/23/2016,6/4/2020,337669-208670,3,0.0,October 2020,3,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
Korea,21,DAEGU,875,DAEGU F.O.,337673,60,NOVOSTAR 6sT,3185,11/23/2016,6/4/2020,337673-253690,3,0.0,October 2020,3,0.0,0,Taegu,0.8,South Korea,35.871435,128.60145
