Region,FO#,Location,Slots,ACM_CountR,ITC,FRS,Total,Month
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,Europe Total,,756.0,49.0,54.0,33.0,892.0,May 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,May 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,May 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19 SASEBO,,71.0,3.0,6.0,3.0,83.0,May 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22 ZAMA,,145.0,8.0,10.0,8.0,171.0,May 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26 OKINAWA,,335.0,17.0,23.0,13.0,388.0,May 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27 IWAKUNI,,68.0,3.0,4.0,2.0,77.0,May 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Japan Total,,748.0,38.0,57.0,33.0,876.0,May 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20 SEOUL,,105.0,4.0,5.0,2.0,116.0,May 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21 DAEGU,,126.0,6.0,12.0,5.0,149.0,May 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23 UIJEONGBU,,73.0,4.0,3.0,3.0,83.0,May 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24 PYONGTAEK,,133.0,6.0,7.0,4.0,150.0,May 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Korea Total,,437.0,20.0,27.0,14.0,498.0,May 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,ARMP Total,,1941.0,107.0,138.0,80.0,2266.0,May 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2 KAISERSLAUTERN,,163.0,12.0,13.0,7.0,195.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4 VICENZA,,73.0,5.0,5.0,3.0,86.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46 VILSECK,,117.0,8.0,9.0,5.0,139.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47 WIESBADEN,,88.0,5.0,4.0,3.0,100.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,Europe Total,,756.0,49.0,55.0,33.0,893.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19 SASEBO,,71.0,4.0,6.0,3.0,84.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22 ZAMA,,144.0,8.0,10.0,8.0,170.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26 OKINAWA,,335.0,17.0,23.0,13.0,388.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27 IWAKUNI,,68.0,3.0,4.0,2.0,77.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Japan Total,,747.0,39.0,57.0,33.0,876.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20 SEOUL,,105.0,4.0,5.0,2.0,116.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21 DAEGU,,128.0,6.0,12.0,5.0,151.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23 UIJEONGBU,,73.0,4.0,3.0,3.0,83.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24 PYONGTAEK,,133.0,6.0,7.0,4.0,150.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Korea Total,,439.0,20.0,27.0,14.0,500.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,ARMP Total,,1942.0,108.0,139.0,80.0,2269.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2 KAISERSLAUTERN,,163.0,12.0,13.0,7.0,195.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4 VICENZA,,73.0,5.0,5.0,3.0,86.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46 VILSECK,,117.0,8.0,9.0,5.0,139.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47 WIESBADEN,,88.0,5.0,4.0,3.0,100.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,Europe Total,,756.0,49.0,55.0,33.0,893.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19 SASEBO,,71.0,4.0,6.0,3.0,84.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22 ZAMA,,144.0,8.0,10.0,8.0,170.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26 OKINAWA,,335.0,17.0,23.0,13.0,388.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27 IWAKUNI,,68.0,3.0,4.0,2.0,77.0,June 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Japan Total,,747.0,39.0,57.0,33.0,876.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20 SEOUL,,105.0,4.0,5.0,2.0,116.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21 DAEGU,,128.0,6.0,12.0,5.0,151.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23 UIJEONGBU,,73.0,4.0,3.0,3.0,83.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24 PYONGTAEK,,133.0,6.0,7.0,4.0,150.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Korea Total,,439.0,20.0,27.0,14.0,500.0,June 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,ARMP Total,,1942.0,108.0,139.0,80.0,2269.0,June 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2 KAISERSLAUTERN,,163.0,12.0,13.0,7.0,195.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4 VICENZA,,73.0,5.0,5.0,3.0,86.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46 VILSECK,,117.0,8.0,9.0,5.0,139.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47 WIESBADEN,,88.0,5.0,4.0,3.0,100.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,Europe Total,,756.0,49.0,55.0,33.0,893.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19 SASEBO,,71.0,4.0,6.0,3.0,84.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22 ZAMA,,144.0,8.0,10.0,8.0,170.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26 OKINAWA,,341.0,18.0,24.0,13.0,396.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27 IWAKUNI,,68.0,3.0,4.0,2.0,77.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Japan Total,,753.0,40.0,58.0,33.0,884.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20 SEOUL,,100.0,4.0,5.0,2.0,111.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21 DAEGU,,128.0,6.0,12.0,5.0,151.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23 UIJEONGBU,,73.0,4.0,3.0,3.0,83.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24 PYONGTAEK,,133.0,6.0,7.0,4.0,150.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Korea Total,,434.0,20.0,27.0,14.0,495.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,ARMP Total,,1943.0,109.0,140.0,80.0,2272.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,2 KAISERSLAUTERN,,163.0,12.0,13.0,7.0,195.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,4 VICENZA,,73.0,5.0,5.0,3.0,86.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,46 VILSECK,,117.0,8.0,9.0,5.0,139.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,47 WIESBADEN,,88.0,5.0,4.0,3.0,100.0,July 2021
Europe                                                                      Slots   ACM/CountR                  ITC           FRS           Total,Europe Total,,756.0,49.0,55.0,33.0,893.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,19 SASEBO,,71.0,4.0,6.0,3.0,84.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,22 ZAMA,,144.0,8.0,10.0,8.0,170.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,26 OKINAWA,,341.0,18.0,24.0,13.0,396.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,27 IWAKUNI,,68.0,3.0,4.0,2.0,77.0,July 2021
Japan                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Japan Total,,753.0,40.0,58.0,33.0,884.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,20 SEOUL,,100.0,4.0,5.0,2.0,111.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,21 DAEGU,,128.0,6.0,12.0,5.0,151.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,23 UIJEONGBU,,73.0,4.0,3.0,3.0,83.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,24 PYONGTAEK,,133.0,6.0,7.0,4.0,150.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Korea Total,,434.0,20.0,27.0,14.0,495.0,July 2021
Korea                                                                       Slots   ACM/CountR                  ITC           FRS           Total,ARMP Total,,1943.0,109.0,140.0,80.0,2272.0,July 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,2 KAISERSLAUTERN,,163.0,12.0,13.0,7.0,195.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,4 VICENZA,,75.0,5.0,5.0,3.0,88.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,10 GARMISCH,,23.0,2.0,2.0,1.0,28.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,31 ANSBACH,,36.0,2.0,4.0,2.0,44.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,39 SOUDA BAY,,24.0,2.0,2.0,1.0,29.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,40 SIGONELLA,,40.0,3.0,3.0,2.0,48.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,42 NAPLES,,47.0,2.0,4.0,2.0,55.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,43 ROTA,,57.0,4.0,5.0,4.0,70.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,45 STUTTGART,,88.0,4.0,4.0,3.0,99.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,46 VILSECK,,117.0,8.0,9.0,5.0,139.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,47 WIESBADEN,,88.0,5.0,4.0,3.0,100.0,August 2021
Europe                                                                       Slots   ACM/CountR                  ITC           FRS           Total,Europe Total,,758.0,49.0,55.0,33.0,895.0,August 2021
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,17 SINGAPORE,,15.0,1.0,2.0,1.0,19.0,August 2021
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,18 YOKOSUKA,,114.0,6.0,12.0,6.0,138.0,August 2021
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,19 SASEBO,,71.0,4.0,6.0,3.0,84.0,August 2021
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,22 ZAMA,,144.0,8.0,10.0,8.0,170.0,August 2021
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,26 OKINAWA,,341.0,18.0,24.0,13.0,396.0,August 2021
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,27 IWAKUNI,,68.0,3.0,4.0,2.0,77.0,August 2021
Japan                                                                        Slots   ACM/CountR                  ITC           FRS           Total,Japan Total,,753.0,40.0,58.0,33.0,884.0,August 2021
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,20 SEOUL,,100.0,4.0,5.0,2.0,111.0,August 2021
Korea                                                                        Slots   ACM/CountR                  ITC           FRS           Total,21 DAEGU,,128.0,6.0,12.0,5.0,151.0,August 2021
